" questions_groups"," standard_questions","intent","question_variants","answers"
"Проезд к месту лечения","Покупка и оформление билета на поезд","railway_ticket_purchase","Как долго рассматривают заявку на билет?","Перед покупкой билета сообщите координатору ДХ о поездке и подготовьте консультативное заключение с перечнем лекарств и ТСР (модель, тип коляски и аккумулятора).
Пассажиры с инвалидностью могут оформить билеты на специализированные места на сайте РЖД, указав СНИЛС (проверка проходит автоматически по Федеральному реестру инвалидов).
Срок подачи заявки — с открытия продаж до 15 суток до отправления.
Рассмотрение заявки — не более 2 рабочих дней.
Выкупить билет нужно в течение 2 суток после резервирования.
Заявку можно оформить по телефону Центра содействия мобильности: 8 (800) 775‑00‑00 (бесплатно по РФ).
В случае отсутствия мест перевозчик предложит места в другом поезде по нужному направлению.
Не забудьте отправить консультативное заключение ДХ на почту РЖД для подтверждения брони и согласования провоза ТСР/лекарств.
Билеты можно оформить по талонам ФСС и Минсоц. Если с инвалидом едут больше двух сопровождающих, оформление третьего и четвертого билета возможно только в кассе одним заказом.
В «Сапсане» и «Ласточке» есть места для пассажиров в кресле‑коляске, а также возможность пересесть в обычное кресло."
"Проезд к месту лечения","Покупка и оформление билета на поезд","railway_ticket_purchase","Как оформить билет по талонам ФСС?","Перед покупкой билета сообщите координатору ДХ о поездке и подготовьте консультативное заключение с перечнем лекарств и ТСР (модель, тип коляски и аккумулятора).
Пассажиры с инвалидностью могут оформить билеты на специализированные места на сайте РЖД, указав СНИЛС (проверка проходит автоматически по Федеральному реестру инвалидов).
Срок подачи заявки — с открытия продаж до 15 суток до отправления.
Рассмотрение заявки — не более 2 рабочих дней.
Выкупить билет нужно в течение 2 суток после резервирования.
Заявку можно оформить по телефону Центра содействия мобильности: 8 (800) 775‑00‑00 (бесплатно по РФ).
В случае отсутствия мест перевозчик предложит места в другом поезде по нужному направлению.
Не забудьте отправить консультативное заключение ДХ на почту РЖД для подтверждения брони и согласования провоза ТСР/лекарств.
Билеты можно оформить по талонам ФСС и Минсоц. Если с инвалидом едут больше двух сопровождающих, оформление третьего и четвертого билета возможно только в кассе одним заказом.
В «Сапсане» и «Ласточке» есть места для пассажиров в кресле‑коляске, а также возможность пересесть в обычное кресло."
"Проезд к месту лечения","Покупка и оформление билета на поезд","railway_ticket_purchase","Можно ли оформить билет сопровождающим?","Перед покупкой билета сообщите координатору ДХ о поездке и подготовьте консультативное заключение с перечнем лекарств и ТСР (модель, тип коляски и аккумулятора).
Пассажиры с инвалидностью могут оформить билеты на специализированные места на сайте РЖД, указав СНИЛС (проверка проходит автоматически по Федеральному реестру инвалидов).
Срок подачи заявки — с открытия продаж до 15 суток до отправления.
Рассмотрение заявки — не более 2 рабочих дней.
Выкупить билет нужно в течение 2 суток после резервирования.
Заявку можно оформить по телефону Центра содействия мобильности: 8 (800) 775‑00‑00 (бесплатно по РФ).
В случае отсутствия мест перевозчик предложит места в другом поезде по нужному направлению.
Не забудьте отправить консультативное заключение ДХ на почту РЖД для подтверждения брони и согласования провоза ТСР/лекарств.
Билеты можно оформить по талонам ФСС и Минсоц. Если с инвалидом едут больше двух сопровождающих, оформление третьего и четвертого билета возможно только в кассе одним заказом.
В «Сапсане» и «Ласточке» есть места для пассажиров в кресле‑коляске, а также возможность пересесть в обычное кресло."
"Проезд к месту лечения","Парковка автотранспорта с больным","railway_parking_info","Как работает парковка для инвалидов у вокзала?","Если парковка у вокзала бесплатная и нерегулируемая — ставьте машину свободно при наличии мест.
Если парковка автоматизированная, услуги предоставляются бесплатно для авто с опознавательным знаком «Инвалид», управляемых или перевозящих инвалидов I, II, III групп и/или детей‑инвалидов.
Информация об авто должна быть в федеральном реестре инвалидов.
При себе нужно иметь и предъявить по требованию:
– документ, удостоверяющий личность;
– документ, подтверждающий инвалидность (свою или пассажира-инвалида, которого везете)."
"Проезд к месту лечения","Парковка автотранспорта с больным","railway_parking_info","Можно ли бесплатно парковаться у ж/д вокзала?","Если парковка у вокзала бесплатная и нерегулируемая — ставьте машину свободно при наличии мест.
Если парковка автоматизированная, услуги предоставляются бесплатно для авто с опознавательным знаком «Инвалид», управляемых или перевозящих инвалидов I, II, III групп и/или детей‑инвалидов.
Информация об авто должна быть в федеральном реестре инвалидов.
При себе нужно иметь и предъявить по требованию:
– документ, удостоверяющий личность;
– документ, подтверждающий инвалидность (свою или пассажира-инвалида, которого везете)."
"Проезд к месту лечения","Парковка автотранспорта с больным","railway_parking_info","Какие документы нужны для бесплатной парковки?","Если парковка у вокзала бесплатная и нерегулируемая — ставьте машину свободно при наличии мест.
Если парковка автоматизированная, услуги предоставляются бесплатно для авто с опознавательным знаком «Инвалид», управляемых или перевозящих инвалидов I, II, III групп и/или детей‑инвалидов.
Информация об авто должна быть в федеральном реестре инвалидов.
При себе нужно иметь и предъявить по требованию:
– документ, удостоверяющий личность;
– документ, подтверждающий инвалидность (свою или пассажира-инвалида, которого везете)."
"Проезд к месту лечения","Парковка автотранспорта с больным","railway_parking_info","Нужно ли вносить машину в реестр для парковки?","Если парковка у вокзала бесплатная и нерегулируемая — ставьте машину свободно при наличии мест.
Если парковка автоматизированная, услуги предоставляются бесплатно для авто с опознавательным знаком «Инвалид», управляемых или перевозящих инвалидов I, II, III групп и/или детей‑инвалидов.
Информация об авто должна быть в федеральном реестре инвалидов.
При себе нужно иметь и предъявить по требованию:
– документ, удостоверяющий личность;
– документ, подтверждающий инвалидность (свою или пассажира-инвалида, которого везете)."
"Проезд к месту лечения","Парковка автотранспорта с больным","railway_parking_info","Как подтвердить право на бесплатную парковку?","Если парковка у вокзала бесплатная и нерегулируемая — ставьте машину свободно при наличии мест.
Если парковка автоматизированная, услуги предоставляются бесплатно для авто с опознавательным знаком «Инвалид», управляемых или перевозящих инвалидов I, II, III групп и/или детей‑инвалидов.
Информация об авто должна быть в федеральном реестре инвалидов.
При себе нужно иметь и предъявить по требованию:
– документ, удостоверяющий личность;
– документ, подтверждающий инвалидность (свою или пассажира-инвалида, которого везете)."
"Проезд к месту лечения","Парковка автотранспорта с больным","railway_parking_info","Дают ли скидку на парковку для инвалидов?","Если парковка у вокзала бесплатная и нерегулируемая — ставьте машину свободно при наличии мест.
Если парковка автоматизированная, услуги предоставляются бесплатно для авто с опознавательным знаком «Инвалид», управляемых или перевозящих инвалидов I, II, III групп и/или детей‑инвалидов.
Информация об авто должна быть в федеральном реестре инвалидов.
При себе нужно иметь и предъявить по требованию:
– документ, удостоверяющий личность;
– документ, подтверждающий инвалидность (свою или пассажира-инвалида, которого везете)."
"Проезд к месту лечения","Парковка автотранспорта с больным","railway_parking_info","Нужен ли знак «Инвалид» на машине для парковки?","Если парковка у вокзала бесплатная и нерегулируемая — ставьте машину свободно при наличии мест.
Если парковка автоматизированная, услуги предоставляются бесплатно для авто с опознавательным знаком «Инвалид», управляемых или перевозящих инвалидов I, II, III групп и/или детей‑инвалидов.
Информация об авто должна быть в федеральном реестре инвалидов.
При себе нужно иметь и предъявить по требованию:
– документ, удостоверяющий личность;
– документ, подтверждающий инвалидность (свою или пассажира-инвалида, которого везете)."
"Проезд к месту лечения","Парковка автотранспорта с больным","railway_parking_info","Как парковаться, если у вокзала автоматизированная парковка?","Если парковка у вокзала бесплатная и нерегулируемая — ставьте машину свободно при наличии мест.
Если парковка автоматизированная, услуги предоставляются бесплатно для авто с опознавательным знаком «Инвалид», управляемых или перевозящих инвалидов I, II, III групп и/или детей‑инвалидов.
Информация об авто должна быть в федеральном реестре инвалидов.
При себе нужно иметь и предъявить по требованию:
– документ, удостоверяющий личность;
– документ, подтверждающий инвалидность (свою или пассажира-инвалида, которого везете)."
"Проезд к месту лечения","Парковка автотранспорта с больным","railway_parking_info","Что проверяют сотрудники парковки?","Если парковка у вокзала бесплатная и нерегулируемая — ставьте машину свободно при наличии мест.
Если парковка автоматизированная, услуги предоставляются бесплатно для авто с опознавательным знаком «Инвалид», управляемых или перевозящих инвалидов I, II, III групп и/или детей‑инвалидов.
Информация об авто должна быть в федеральном реестре инвалидов.
При себе нужно иметь и предъявить по требованию:
– документ, удостоверяющий личность;
– документ, подтверждающий инвалидность (свою или пассажира-инвалида, которого везете)."
"Проезд к месту лечения","Помощь на вокзале","railway_station_assistance","Как организовать встречу на вокзале?","Если в заявке указали встречу, работники свяжутся минимум за 2 часа до отправления и за 40 минут до прибытия поезда.
Могут помочь с перемещением по вокзалу, оформлением документов, перемещением ручной клади (до 2 мест общим весом до 36 кг в плацкарте и купе; до 3 мест до 50 кг в СВ и Люкс), посадкой и высадкой.
Ведется видео- и аудиозапись оказания услуги.
Работники не являются медработниками и не оказывают медицинскую помощь, не распаковывают вещи, не принимают деньги, не остаются рядом постоянно, не помогают в гигиенических процедурах.
Могут отказать в сопровождении, если нет документов об инвалидности или при нарушении порядка."
"Проезд к месту лечения","Помощь на вокзале","railway_station_assistance","Куда обращаться за помощью на вокзале?","Если в заявке указали встречу, работники свяжутся минимум за 2 часа до отправления и за 40 минут до прибытия поезда.
Могут помочь с перемещением по вокзалу, оформлением документов, перемещением ручной клади (до 2 мест общим весом до 36 кг в плацкарте и купе; до 3 мест до 50 кг в СВ и Люкс), посадкой и высадкой.
Ведется видео- и аудиозапись оказания услуги.
Работники не являются медработниками и не оказывают медицинскую помощь, не распаковывают вещи, не принимают деньги, не остаются рядом постоянно, не помогают в гигиенических процедурах.
Могут отказать в сопровождении, если нет документов об инвалидности или при нарушении порядка."
"Проезд к месту лечения","Помощь на вокзале","railway_station_assistance","Как помогают пассажирам с инвалидностью на вокзале?","Если в заявке указали встречу, работники свяжутся минимум за 2 часа до отправления и за 40 минут до прибытия поезда.
Могут помочь с перемещением по вокзалу, оформлением документов, перемещением ручной клади (до 2 мест общим весом до 36 кг в плацкарте и купе; до 3 мест до 50 кг в СВ и Люкс), посадкой и высадкой.
Ведется видео- и аудиозапись оказания услуги.
Работники не являются медработниками и не оказывают медицинскую помощь, не распаковывают вещи, не принимают деньги, не остаются рядом постоянно, не помогают в гигиенических процедурах.
Могут отказать в сопровождении, если нет документов об инвалидности или при нарушении порядка."
"Проезд к месту лечения","Помощь на вокзале","railway_station_assistance","Можно ли заказать сопровождение на вокзале?","Если в заявке указали встречу, работники свяжутся минимум за 2 часа до отправления и за 40 минут до прибытия поезда.
Могут помочь с перемещением по вокзалу, оформлением документов, перемещением ручной клади (до 2 мест общим весом до 36 кг в плацкарте и купе; до 3 мест до 50 кг в СВ и Люкс), посадкой и высадкой.
Ведется видео- и аудиозапись оказания услуги.
Работники не являются медработниками и не оказывают медицинскую помощь, не распаковывают вещи, не принимают деньги, не остаются рядом постоянно, не помогают в гигиенических процедурах.
Могут отказать в сопровождении, если нет документов об инвалидности или при нарушении порядка."
"Проезд к месту лечения","Помощь на вокзале","railway_station_assistance","Что делают работники вокзала для инвалидов?","Если в заявке указали встречу, работники свяжутся минимум за 2 часа до отправления и за 40 минут до прибытия поезда.
Могут помочь с перемещением по вокзалу, оформлением документов, перемещением ручной клади (до 2 мест общим весом до 36 кг в плацкарте и купе; до 3 мест до 50 кг в СВ и Люкс), посадкой и высадкой.
Ведется видео- и аудиозапись оказания услуги.
Работники не являются медработниками и не оказывают медицинскую помощь, не распаковывают вещи, не принимают деньги, не остаются рядом постоянно, не помогают в гигиенических процедурах.
Могут отказать в сопровождении, если нет документов об инвалидности или при нарушении порядка."
"Проезд к месту лечения","Помощь на вокзале","railway_station_assistance","Есть ли подъемник для посадки в поезд?","Если в заявке указали встречу, работники свяжутся минимум за 2 часа до отправления и за 40 минут до прибытия поезда.
Могут помочь с перемещением по вокзалу, оформлением документов, перемещением ручной клади (до 2 мест общим весом до 36 кг в плацкарте и купе; до 3 мест до 50 кг в СВ и Люкс), посадкой и высадкой.
Ведется видео- и аудиозапись оказания услуги.
Работники не являются медработниками и не оказывают медицинскую помощь, не распаковывают вещи, не принимают деньги, не остаются рядом постоянно, не помогают в гигиенических процедурах.
Могут отказать в сопровождении, если нет документов об инвалидности или при нарушении порядка."
"Проезд к месту лечения","Помощь на вокзале","railway_station_assistance","Что не делают работники вокзала?","Если в заявке указали встречу, работники свяжутся минимум за 2 часа до отправления и за 40 минут до прибытия поезда.
Могут помочь с перемещением по вокзалу, оформлением документов, перемещением ручной клади (до 2 мест общим весом до 36 кг в плацкарте и купе; до 3 мест до 50 кг в СВ и Люкс), посадкой и высадкой.
Ведется видео- и аудиозапись оказания услуги.
Работники не являются медработниками и не оказывают медицинскую помощь, не распаковывают вещи, не принимают деньги, не остаются рядом постоянно, не помогают в гигиенических процедурах.
Могут отказать в сопровождении, если нет документов об инвалидности или при нарушении порядка."
"Проезд к месту лечения","Возврат железнодорожных билетов","railway_ticket_refund","Как вернуть билет на поезд?","Возврат возможен как всего заказа, так и отдельных билетов.
По тарифу «День Рождения» возврат через личный кабинет только всех билетов заказа сразу.
В вагоне Люкс (бизнес) возврат только при одновременном возврате всех билетов купе.
Для «Сапсана» и «Ласточки» по тарифу «Туда‑обратно» сначала возвращают билет «обратно», потом «туда». Можно вернуть только «обратно», а вернуть только «туда» нельзя (это можно сделать в кассе, см. п. 13.2 Правил)."
"Проезд к месту лечения","Возврат железнодорожных билетов","railway_ticket_refund","Можно ли вернуть часть заказа?","Возврат возможен как всего заказа, так и отдельных билетов.
По тарифу «День Рождения» возврат через личный кабинет только всех билетов заказа сразу.
В вагоне Люкс (бизнес) возврат только при одновременном возврате всех билетов купе.
Для «Сапсана» и «Ласточки» по тарифу «Туда‑обратно» сначала возвращают билет «обратно», потом «туда». Можно вернуть только «обратно», а вернуть только «туда» нельзя (это можно сделать в кассе, см. п. 13.2 Правил)."
"Проезд к месту лечения","Возврат железнодорожных билетов","railway_ticket_refund","Что с возвратом в вагоне Люкс?","Возврат возможен как всего заказа, так и отдельных билетов.
По тарифу «День Рождения» возврат через личный кабинет только всех билетов заказа сразу.
В вагоне Люкс (бизнес) возврат только при одновременном возврате всех билетов купе.
Для «Сапсана» и «Ласточки» по тарифу «Туда‑обратно» сначала возвращают билет «обратно», потом «туда». Можно вернуть только «обратно», а вернуть только «туда» нельзя (это можно сделать в кассе, см. п. 13.2 Правил)."
"Проезд к месту лечения","Возврат железнодорожных билетов","railway_ticket_refund","Как вернуть билеты туда‑обратно в «Сапсане»?","Возврат возможен как всего заказа, так и отдельных билетов.
По тарифу «День Рождения» возврат через личный кабинет только всех билетов заказа сразу.
В вагоне Люкс (бизнес) возврат только при одновременном возврате всех билетов купе.
Для «Сапсана» и «Ласточки» по тарифу «Туда‑обратно» сначала возвращают билет «обратно», потом «туда». Можно вернуть только «обратно», а вернуть только «туда» нельзя (это можно сделать в кассе, см. п. 13.2 Правил)."
"Проезд к месту лечения","Возврат железнодорожных билетов","railway_ticket_refund","Можно ли вернуть только билет «туда»?","Возврат возможен как всего заказа, так и отдельных билетов.
По тарифу «День Рождения» возврат через личный кабинет только всех билетов заказа сразу.
В вагоне Люкс (бизнес) возврат только при одновременном возврате всех билетов купе.
Для «Сапсана» и «Ласточки» по тарифу «Туда‑обратно» сначала возвращают билет «обратно», потом «туда». Можно вернуть только «обратно», а вернуть только «туда» нельзя (это можно сделать в кассе, см. п. 13.2 Правил)."
"Проезд к месту лечения","Возврат железнодорожных билетов","railway_ticket_refund","Как вернуть билет «обратно»?","Возврат возможен как всего заказа, так и отдельных билетов.
По тарифу «День Рождения» возврат через личный кабинет только всех билетов заказа сразу.
В вагоне Люкс (бизнес) возврат только при одновременном возврате всех билетов купе.
Для «Сапсана» и «Ласточки» по тарифу «Туда‑обратно» сначала возвращают билет «обратно», потом «туда». Можно вернуть только «обратно», а вернуть только «туда» нельзя (это можно сделать в кассе, см. п. 13.2 Правил)."
"Проезд к месту лечения","Возврат железнодорожных билетов","railway_ticket_refund","Где оформить возврат билета?","Возврат возможен как всего заказа, так и отдельных билетов.
По тарифу «День Рождения» возврат через личный кабинет только всех билетов заказа сразу.
В вагоне Люкс (бизнес) возврат только при одновременном возврате всех билетов купе.
Для «Сапсана» и «Ласточки» по тарифу «Туда‑обратно» сначала возвращают билет «обратно», потом «туда». Можно вернуть только «обратно», а вернуть только «туда» нельзя (это можно сделать в кассе, см. п. 13.2 Правил)."
"Проезд к месту лечения","Возврат железнодорожных билетов","railway_ticket_refund","Когда нельзя вернуть билет?","Возврат возможен как всего заказа, так и отдельных билетов.
По тарифу «День Рождения» возврат через личный кабинет только всех билетов заказа сразу.
В вагоне Люкс (бизнес) возврат только при одновременном возврате всех билетов купе.
Для «Сапсана» и «Ласточки» по тарифу «Туда‑обратно» сначала возвращают билет «обратно», потом «туда». Можно вернуть только «обратно», а вернуть только «туда» нельзя (это можно сделать в кассе, см. п. 13.2 Правил)."
"Проезд к месту лечения","Полная информация проезде на поезде","railway_full_info","Дай всю памятку про железнодорожное сообщение","📌 Железнодорожное сообщение — ПАМЯТКА
Общая информация:
Права пассажиров регулируются: Законом РФ «О защите прав потребителей»; ФЗ «Устав железнодорожного транспорта РФ»; Постановлением Правительства РФ №810 от 27.05.2021; Правилами перевозок пассажиров, багажа и грузобагажа (приказ Минтранса №473 от 19.12.2013).
1️⃣ Покупка билета и оформление услуг:
Перед покупкой билета нужно сообщить координатору ДХ о поездке и подготовить консультативное заключение (лекарства, модель/тип коляски, аккумулятор). Пассажиры с инвалидностью могут оформить билеты на спецместа через сайт РЖД, указав СНИЛС; проверка идёт автоматически по Федеральному реестру инвалидов. Условия оформления на сайте РЖД: https://www.rzd.ru/ru/10046/page/103290?id=18976#main-header. Срок подачи заявки — с даты открытия продаж, но не позднее чем за 15 суток до отправления. Рассмотрение — до 2 рабочих дней. Выкупить билет в кассе нужно в течение 2 суток с даты резервирования (без учёта даты). Заявку можно подать по телефону Центра содействия мобильности ОАО «РЖД»: 8 (800) 775‑00‑00 (бесплатно). Не забудьте назвать номер СНИЛС. Если в выбранном поезде нет мест, перевозчик зарезервирует в другом по том же направлению. Обязательно отправить консультативное заключение ДХ на почту РЖД и подтвердить бронирование ТСР/лекарств. Доступно оформление билетов по талонам ФСС и Минсоц. Если с инвалидом едут больше 2 сопровождающих, третий и четвёртый билеты оформляются только в кассе одним заказом. В «Сапсане» и «Ласточке» есть места для кресел‑колясок и возможность пересесть в кресло; кресла‑каталки есть в специализированных купе и по заявке — во всех категориях вагонов.
2️⃣ Парковка у вокзала:
На бесплатной (нерегулируемой) парковке — размещение свободное при наличии мест. На автоматизированной парковке услуги бесплатны для авто с опознавательным знаком «Инвалид», если ими управляют или в них перевозятся инвалиды I–III групп или дети‑инвалиды. Информация об авто должна быть в федеральном реестре инвалидов. При себе иметь: документ, удостоверяющий личность, и документ об инвалидности (на себя или пассажира).
3️⃣ На вокзале (встреча и сопровождение):
Если в заявке указана встреча, работники свяжутся минимум за 2 часа до отправления и за 40 минут до прибытия. Помогут: с перемещением по вокзалу, оформлением билетов, багажом (до 2 мест до 36 кг в плацкарте/купе или до 3 мест до 50 кг в СВ и Люкс), посадкой и высадкой. Ведётся видео- и аудиозапись оказания услуги. Работники не являются медиками; не оказывают помощь в гигиенических процедурах, не остаются рядом постоянно, не распаковывают вещи и не берут деньги. Могут отказать в сопровождении, если нет документов об инвалидности или пассажир нарушает порядок.
4️⃣ Отказ от поездки и возврат билетов:
Можно вернуть весь заказ или отдельный билет. По тарифу «День Рождения» через личный кабинет можно вернуть только все билеты заказа одновременно. В вагоне Люкс возврат только при одновременном возврате всех билетов купе. Для «Сапсана» и «Ласточки» по тарифу «Туда‑обратно»: сначала возвращается билет «обратно», потом «туда»; вернуть только «обратно» можно, а только «туда» — нельзя (это возможно в кассе, см. п.13.2 Правил)."
"Проезд к месту лечения","Полная информация проезде на поезде","railway_full_info","Расскажи всё о поездках на поезде для подопечных","📌 Железнодорожное сообщение — ПАМЯТКА
Общая информация:
Права пассажиров регулируются: Законом РФ «О защите прав потребителей»; ФЗ «Устав железнодорожного транспорта РФ»; Постановлением Правительства РФ №810 от 27.05.2021; Правилами перевозок пассажиров, багажа и грузобагажа (приказ Минтранса №473 от 19.12.2013).
1️⃣ Покупка билета и оформление услуг:
Перед покупкой билета нужно сообщить координатору ДХ о поездке и подготовить консультативное заключение (лекарства, модель/тип коляски, аккумулятор). Пассажиры с инвалидностью могут оформить билеты на спецместа через сайт РЖД, указав СНИЛС; проверка идёт автоматически по Федеральному реестру инвалидов. Условия оформления на сайте РЖД: https://www.rzd.ru/ru/10046/page/103290?id=18976#main-header. Срок подачи заявки — с даты открытия продаж, но не позднее чем за 15 суток до отправления. Рассмотрение — до 2 рабочих дней. Выкупить билет в кассе нужно в течение 2 суток с даты резервирования (без учёта даты). Заявку можно подать по телефону Центра содействия мобильности ОАО «РЖД»: 8 (800) 775‑00‑00 (бесплатно). Не забудьте назвать номер СНИЛС. Если в выбранном поезде нет мест, перевозчик зарезервирует в другом по том же направлению. Обязательно отправить консультативное заключение ДХ на почту РЖД и подтвердить бронирование ТСР/лекарств. Доступно оформление билетов по талонам ФСС и Минсоц. Если с инвалидом едут больше 2 сопровождающих, третий и четвёртый билеты оформляются только в кассе одним заказом. В «Сапсане» и «Ласточке» есть места для кресел‑колясок и возможность пересесть в кресло; кресла‑каталки есть в специализированных купе и по заявке — во всех категориях вагонов.
2️⃣ Парковка у вокзала:
На бесплатной (нерегулируемой) парковке — размещение свободное при наличии мест. На автоматизированной парковке услуги бесплатны для авто с опознавательным знаком «Инвалид», если ими управляют или в них перевозятся инвалиды I–III групп или дети‑инвалиды. Информация об авто должна быть в федеральном реестре инвалидов. При себе иметь: документ, удостоверяющий личность, и документ об инвалидности (на себя или пассажира).
3️⃣ На вокзале (встреча и сопровождение):
Если в заявке указана встреча, работники свяжутся минимум за 2 часа до отправления и за 40 минут до прибытия. Помогут: с перемещением по вокзалу, оформлением билетов, багажом (до 2 мест до 36 кг в плацкарте/купе или до 3 мест до 50 кг в СВ и Люкс), посадкой и высадкой. Ведётся видео- и аудиозапись оказания услуги. Работники не являются медиками; не оказывают помощь в гигиенических процедурах, не остаются рядом постоянно, не распаковывают вещи и не берут деньги. Могут отказать в сопровождении, если нет документов об инвалидности или пассажир нарушает порядок.
4️⃣ Отказ от поездки и возврат билетов:
Можно вернуть весь заказ или отдельный билет. По тарифу «День Рождения» через личный кабинет можно вернуть только все билеты заказа одновременно. В вагоне Люкс возврат только при одновременном возврате всех билетов купе. Для «Сапсана» и «Ласточки» по тарифу «Туда‑обратно»: сначала возвращается билет «обратно», потом «туда»; вернуть только «обратно» можно, а только «туда» — нельзя (это возможно в кассе, см. п.13.2 Правил)."
